Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,"It is likely that the tattoo artist prepares the ink before starting to outline the tattoo, so Event 1 precedes Event 2."
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The man throws the shot put, then looks confused and finally sees his score, indicating a sequence of events in which the throwing comes before the confusion and score display."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,Yes,"It is likely that the start card is held up before the man falls off his bike, as the start card is typically used to signal the start of a race or event, and the man's fall is likely a result of participating in the event."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,"The woman is seated on the equipment, and then she pulls, causing her seat to slide forward and backward, which suggests a temporal relationship between the two events."
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"The celebration in Event 1 is likely to be a celebration of some kind of achievement or milestone, and the subsequent putting on of wetsuits and life jackets in Event 2 suggests that the celebration is ending and the group is preparing to engage in some kind of water activity, such as a dive or a boat trip."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The event of jumping on the woman's back and performing tricks to catch frisbees is likely to occur after the woman is holding the frisbees and playing with the dog, as the dog tricks typically involve catching frisbees in mid-air."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events seem to be describing a commercial or advertisement for a hair salon. The first event describes a scene with a woman getting her hair done, and the second event describes the same commercial, with the man's brief moment likely being an introduction or testimonial. The black screens with foreign wording and the logo at the end suggest a commercial structure, implying that one event follows the other."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,Yes,"The man must have walked around the room to grab more plaster before finishing the ceiling, which suggests that Event 1 precedes Event 2."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The man must weld the steel construction drill before it can glow red hot, indicating that Event 1 follows Event 2 in time."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits on the screen typically appear after the main content of a film or video has ended, which in this case appears to be the dancing scene."
