Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,It is likely that he places the ink into the cups before beginning to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The event of throwing the shot put is followed by the event of pointing to himself and the crowd, likely to indicate the result of the throw."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,Yes,"The start card is typically held up at the beginning of a race or competition, and the man falling off his bike is likely a consequence of the race or competition starting."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,"The sliding motion implies that the woman is using the equipment, which suggests that the event 2 occurs after event 1."
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"The first event implies a celebratory atmosphere, and the second event suggests that the celebration is happening before a water-based activity, making it likely that the events are related and the second event occurs after the first."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,No,"The context and activities described in the two events suggest they are unrelated and unrelated to each other, making it unlikely they have a temporal relationship."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events appear to be part of a TV commercial or video, and the black screen with foreign letters on it is likely a transition between the two scenes."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,"The events appear to be unrelated, as there is no obvious connection between finishing a ceiling and standing on stilts."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The man finishes welding implies that he has already been welding, and the second event is the action of welding, so the events are likely to be part of the same process and have a temporal relation."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits typically appear at the end of a movie or TV show, so it is likely that the dancing people scene comes before the credits."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,No,"The two events appear to be unrelated and unlikely to have a temporal relationship, as one event describes a person being covered in goo and ice cream, while the other event shows a person holding a sundae glass."
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,The guy must have put the string in the hole in the ice before bringing the fish from the ice attached to the string.
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The event of putting down the iron and melting wax onto the purple material suggests that the wax is being applied, and the subsequent event of removing the content from the container implies that the wax is being removed, indicating a temporal relationship between the two events."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,No,"The two events describe different moments in time, with no clear temporal relationship between the two."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,No,"The second event lacks sufficient information to establish a temporal relationship with the first event, as it does not specify what the man is doing in the field."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The removal of the mic and the boy's wild head movements seem to be part of the same performance, and the second event continues the performance."
