Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,"It is likely that he places the ink into the small cups before he begins to outline the tattoo, as the ink is needed for the tattooing process."
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The man throws the shot put, and then the score is shown, indicating that the throwing event occurs before the score is displayed."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,Yes,"The start card is typically held up to signal the start of a race or competition, and the man falling off his bike suggests that he was participating in a race or competition, so it is likely that the start card was held up before the man fell off his bike."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,"The second event 'Her seat slides forward and backward as she pulls' implies that the woman is using the workout equipment, which is described in the first event 'A woman is seated on a piece of workout equipment', so the second event likely occurs after the first event."
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,Yes,"The event of holding and putting on wet suits and life jackets implies that the people are preparing for some kind of water activity, and the cheering and celebrating at the end suggests that they are celebrating the completion of that activity, so it is likely that Event 2 occurs after Event 1."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"It is likely that the woman is holding the frisbees and playing with the dog before the man jumps on her back and performs tricks with the frisbees, as the dog's presence and the woman's possession of the frisbees suggest a pre-existing situation that allows for the man's actions."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"The events seem to be describing a TV commercial or advertisement. The first event describes a scene from the commercial, and the second event describes the commercial's ending, which includes a logo and website URL. The black screen with foreign wording on it in both events suggests that it is a common element in the commercial, and the events are likely to be consecutive in the commercial's timeline."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,Yes,"The man must have finished the ceiling (Event 1) before he can walk away, and it is likely that he walked around the room to grab more plaster to complete the ceiling, making Event 1 a necessary precursor to Event 2."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The man must weld the construction drill before it glows red hot, so Event 1 is likely to occur after Event 2."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits on the screen typically appear after the main content of a movie or TV show has finished, which in this case is the scene of the gym filled with dancing people."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,Yes,"It is likely that the girl in Event 1 had the sundae from the lady in Event 2, resulting in her being covered in red goo, melted ice cream, and whipped cream."
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,"The guy brings a fish from the ice implies that he has already pulled the fish out of the water using the string, and then reaches into the hole to pull on the string, which suggests that the events happen in a sequence, with the first event happening before the second."
