Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,The tattoo artist typically prepares the ink before beginning to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"Event 1, where the man throws the shot put, likely occurs before Event 2, where he points to himself and the crowd looking confused and his score is shown. The score being shown typically follows a performance in athletic events."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,The events describe distinct activities that do not imply a clear sequence. The girl holding up the start card does not necessarily precede or follow the man falling off his bike.
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must be seated on the workout equipment before her seat can slide forward and backward as she pulls.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,No,The two events describe different activities that do not imply a necessary sequence. People putting on wetsuits and life jackets while cheering does not necessarily precede or follow a celebration with clinking glasses.
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The woman holds a bunch of frisbees and plays with the dog first, which likely leads to the dog performing tricks to catch the frisbees."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"Event 1 involves the process of getting hair styled, including talking and a black screen appearance. Event 2 appears to follow with the hairdresser speaking and the ending sequence of logos and website information, indicating it likely comes at the conclusion of the events in Event 1."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,The events described do not inherently depend on each other or suggest a specific sequence. The man finishing the ceiling and walking away is independent of a man standing on stilts in front of a wall.
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,Welding a large steel construction drill (Event 2) must occur before or during the time the man finishes welding and the metal glows red hot (Event 1).
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"Typically, credits appear at the end of a scene or event, suggesting that the dancing people in the gym come before the credits on the screen."
