Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,The tattoo artist needs to prepare the ink before starting to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,The man throws the shot put first and then reacts to the situation and his score being shown. The sequence of actions indicates a clear temporal relationship.
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,The two events are unrelated and do not imply a specific sequence. The man falling off his bike and the girl holding up the start card can occur independently of each other.
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must first be seated on the workout equipment before her seat can slide forward and backward as she pulls.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,No,The two events describe different activities (celebrating with glasses and putting on wetsuits and life jackets) without a clear indication that one must precede the other. They could occur independently in any order.
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The woman holding the frisbees and playing with the dog likely precedes the tricks performed by the dog, as the dog needs the frisbees to perform the tricks."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"Event 1 involves a sequence where a woman is getting her hair styled, which likely occurs before the hairdresser speaks about the styling process in Event 2. The black screen with foreign letters appears in both events, suggesting a transition between them."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,There is no clear indication that one event must precede the other. The man grabbing plaster and finishing the ceiling is a separate activity from a man standing on stilts in front of a wall.
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The process of welding the steel construction drill likely precedes the completion of welding, which results in the metal glowing red hot."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"Typically, credits are shown at the end of a scene or event, so it is likely that the gym filled with dancing people is shown before the credits appear on the screen."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,No,There is no clear indication that one event must occur before the other. The girl being covered in red goo and melted ice cream and the lady holding a sundae glass are independent events without a necessary sequence.
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,The guy must first reach into the hole in the ice and pull on the string before he can bring the fish from the ice that is attached to the string.
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"Event 2 explains the preparation of the wax, which is then used in Event 1, where the wax is melted onto the purple material. Thus, Event 2 precedes Event 1."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,No,The second event describes the attire of the girls without any specific actions or timeline. The first event describes a sequence of actions involving the girls. There is no clear indication that one event must precede the other.
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,No,The two events describe similar settings but do not provide information indicating a specific sequence or dependency between them.
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The use of 'finally' in Event 1 indicates that the mic removal and subsequent actions happen after some prior context, suggesting a sequence. Event 2 refers to the 'first boy' coming back, indicating a continuation of an ongoing sequence. Therefore, Event 1 likely precedes Event 2 in the temporal order."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,The man must first hold the frisbees and talk to the camera before he can proceed to throw them for the dog to catch.
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,No,The two events are not necessarily connected in a way that one must precede the other. Hitting a long shot and receiving a trophy could occur independently of each other.
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,There is no clear indication that one event must precede the other. The events could occur independently or in any order.
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,Yes,"The act of scoring and the continuation of the game are part of the overall hurling match where players are running and throwing a small ball with a stick. Scoring is an event that happens during the game, so it is likely that the two events are temporally related, with the scoring event occurring during the ongoing play."
