Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,The tattoo artist must prepare the ink before starting to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The man throws the shot put first, and then reacts to the situation and his score is shown. The events are sequential and related."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,"The two events are unrelated as they describe different activities and contexts. One involves a man falling off his bike, while the other involves a girl holding up a start card."
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must first be seated on the workout equipment before her seat can slide forward and backward as she pulls.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,No,The two events appear to be from different contexts and there is no clear indication that one must occur before the other.
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,The woman holding the frisbees and playing with the dog is likely to precede or coincide with the dog performing tricks to catch the frisbees. The events are related and have a temporal relationship.
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"Both events describe scenes involving a black screen with foreign letters, suggesting they are part of the same context. The first event likely happens before the second event, as the hairdressing and styling occur before the hairdresser speaks and the final screen appears."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,"The two events describe different activities that do not have a clear temporal relationship. The first event involves a man finishing plastering a ceiling, while the second event involves a man standing on stilts in front of a wall. These activities are unrelated and do not necessarily follow one another."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The metal glowing red hot after welding suggests the welding process has been completed, indicating a sequence where welding occurs first and the metal glowing red hot happens afterward."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"Typically, credits appear at the end of a sequence, suggesting that the event of seeing dancing people in the gym occurs before the credits roll."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,No,The two events describe different activities involving different people and there is no clear indication that one event must precede the other.
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,"The guy reaches into the hole in the ice and pulls on a clear string, which likely precedes bringing up the fish that is attached to the string."
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The events are related as the act of melting wax onto the material with the iron likely precedes the man picking up the container of wax, which is then used in the process."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,Yes,"The second event describes the attire of the girls, which seems to set the scene for the first event where the girls are engaged in specific activities. Therefore, the second event likely precedes the first event."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,No,"Although both events occur in a similar setting (a large green field), there is no clear indication that one event must precede the other. The man standing in the field could be doing so at any time, unrelated to the shot put event."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"Event 1 describes the boy beginning to move his head wildly and continuing to perform, which seems to precede Event 2 where the first boy comes back and continues playing the drums. The continuation of the performance suggests a temporal relationship between the two events."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,The man must first hold the frisbees and talk to the camera before he can proceed to throw them for the dog to catch.
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,No,The events are unrelated as hitting a long shot down a slope and receiving a trophy from teammates are from different contexts and do not have a clear temporal relationship.
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,The events described do not provide enough context to establish a clear temporal relationship. They could occur in different contexts and do not necessarily follow one another.
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,Yes,"Scoring in a game of hurling is an event that naturally occurs within the context of the ongoing play. Therefore, the event where a player scores and the game continues is temporally related to the general play of hurling."
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,No,"The two events occur in very different contexts. One involves walking through a display of sailboats, while the other involves sailing through hard waters. There is no clear temporal relationship between the two events."
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,No,"The two events involve different individuals and different vehicles, and there is no clear connection or sequence between them."
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,No,"The two events describe different activities happening simultaneously or independently in a park or playground setting, with no clear temporal dependency between them."
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The black outro screen with the safety message likely appears after the series of clips showing people riding skateboards and falling, as it serves as a concluding safety reminder."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,No,"The events seem to be from different parts of a narrative or even different narratives. The appearance of end titles typically signifies the conclusion of a storyline, while the sighting of a lady with a hose could occur at any point in a different context."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,No,The events describe two different scenarios involving surfing but do not provide enough information to establish a temporal relationship between them. One event does not necessarily precede or follow the other.
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The second event describes the first time he bowls and hits a strike, while the first event describes the third time he bowls and hits a strike. Therefore, the second event must precede the first event."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,No,"The events are unrelated as they describe different activities involving different individuals, with no clear temporal or contextual connection between them."
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,No,The events described are unrelated and occur in different contexts. Touching a cheek and seeing an animation with closing titles do not have a clear temporal relationship.
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,"The two events are unrelated as they describe different actions and contexts. One describes stopping play and standing up, while the other describes a man leading a group, with no clear connection or temporal sequence between them."
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The appearance of the rafts and people white water rafting likely precedes the man appearing on the side with a paddle, as he is described as watching the others continue to kayak and fall into the water."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,No,"The events involve different individuals performing unrelated actions, and there is no clear temporal relationship between them."
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,He must lift the weight over his head before he can drop it onto the mat.
