Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,The tattoo artist must place the ink into small cups before beginning to outline the tattoo.
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The athlete throws the shot put first, and then reacts and sees his score, establishing a clear temporal sequence."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,The two events are unrelated and occur in different contexts. The man falling off his bike and the girl holding up the start card do not have a clear temporal relationship.
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must first be seated on the workout equipment before her seat can slide forward and backward as she pulls.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,No,"The events described are from different contexts; one involves celebration with glasses, while the other involves putting on wetsuits and life jackets. There is no clear temporal relationship between the two events."
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,The woman holding the frisbees and playing with the dog is likely the setup for the dog performing tricks to catch the frisbees.
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"Both events involve a sequence where a person speaks followed by a black screen with foreign letters. Event 1 describes the hair braiding process, while Event 2 describes a hairdresser speaking. The black screen with foreign letters suggests a transition between related scenes, indicating a temporal relationship."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,"The two events describe different actions and contexts. One involves a man finishing a ceiling with plaster, while the other involves a man standing on stilts in front of a wall. There is no clear temporal relationship or dependency between these events."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The man finishing welding and the metal glowing red hot likely occurs after the man welds the large steel construction drill, suggesting a temporal relationship between the two events."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"Typically, the credits are shown at the end of a video or movie, suggesting that the scene with the dancing people in the gym would occur before the credits."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,No,"The two events described involve different contexts and activities. One involves a girl covered in red goo, melted ice cream, and whipped cream, while the other involves a lady holding a sundae glass. There is no clear temporal or contextual connection between these events."
