Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
1,He places more tattoo ink into small cups .,He begins to outline the tattoo .,NA,Yes,"Placing tattoo ink into small cups likely occurs before outlining the tattoo, as the ink is needed for the outlining process."
2,An athletic man is seen standing ready holding a shot put and then throws the ball off into the distance .,He then points to himself and the crowd looking confused and finally his score being shown .,NA,Yes,"The actions of throwing the shot put and then pointing to himself and the crowd likely occur sequentially, with the score being shown after the throw."
3,A man falls off his bike hard .,A girl holds up the start card .,NA,No,There is no clear indication that one event directly precedes or follows the other; they seem unrelated.
4,A woman is seated on a piece of workout equipment .,Her seat slides forward and backward as she pulls .,NA,Yes,The woman must be seated on the workout equipment before her seat can slide forward and backward as she pulls.
5,The cheer and celebrate in the end clinging their glasses together .,A large group of people are then seen holding and putting on wet suits and putting on life jackets while cheering with each other .,NA,No,The events describe different scenarios and there is no clear indication that one event precedes the other.
6,"He jumps on her back and performs tricks to get the frisbees including begging , standing , and catching midair .","A woman is holding a bunch of frisbees , and playing with a dog outside .",NA,Yes,"The tricks performed by the dog to get the frisbees likely occur while the woman is holding them, suggesting a sequence where Event 1 takes place during or after Event 2."
7,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .",The hairdresser speaks then it fades to a black screen with a lot of foreign wording on it and the last screen has the heart and scissor logo with the website under it .,NA,Yes,"Both events contain a segment where there is a talk followed by a black screen with foreign letters, suggesting that they likely occur in sequence before transitioning to different visuals."
8,The man walks around the room to grab more plaster and finishes the ceiling and walks away .,A man is seen standing on a pair of stilts while standing in front of a wall .,NA,No,"The two events describe separate actions that could occur independently of each other, without a clear temporal relationship."
9,The man finishes welding and the metal glows red hot .,A man welds a large steel construction drill .,NA,Yes,"The act of welding (Event 2) must happen before the metal can be observed glowing red hot (Event 1), indicating a temporal relationship."
10,We then see a gym filled with dancing people .,We see the credits on the screen .,NA,Yes,"The credits typically appear at the end of a film or performance, indicating that the scenes, including the gym filled with dancing people, occurred before the credits."
11,A girl sitting in a chair is covered in red goo and melted ice cream and whipped cream .,A lady in a bikini is holding a sundae glass .,NA,No,There is no clear indication that one event precedes the other; they appear to be unrelated.
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,"The second event of pulling on the clear string likely occurs before the first event where the guy brings the fish from the ice, as pulling the string is necessary to bring the fish up."
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The first event describes the melting of wax onto the purple material, which logically precedes the second event where the man introduces the wax content, suggesting a sequence in the process."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,Yes,"Event 2 describes the girls in their costumes, which likely occurs before or during the activities described in Event 1."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,Yes,"The second event describes the man standing in the field, which is likely happening at the same time as he is doing the shot put in the first event."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The second event describes the continuation of a performance where the first boy returns, indicating that it occurs after the mic is removed in the first event."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,The man must talk to the camera and hold the frisbees before he throws them for the dog to catch.
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,No,The events seem unrelated; hitting a shot does not imply a relationship to receiving a trophy without additional context.
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,There is no clear indication that one event must precede the other; the events can occur independently of each other.
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,Yes,"The scoring in Event 1 occurs during the context of the game being played in Event 2, indicating that the events are part of the same continuous timeline."
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,Yes,"The person walking through the display of sailboats likely occurs before the man actually sails on the waters, as he would need to observe or select a boat before sailing."
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,No,The two events involve different locations and tasks happening simultaneously or independently without any indication that one precedes the other.
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,No,There is no clear indication that one event must precede the other; they could occur simultaneously or independently.
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The outro screen with the safety message is likely intended to follow the series of skateboard clips, emphasizing the importance of wearing helmets after showing the falls and accidents."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,No,"The appearance of end titles typically signifies the conclusion of a film or scene, which suggests that the lady with the hose being seen again would occur before the end titles, not after."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,Yes,"The presence of many people on surfboards suggests that they are all participating in surfing at the same time, which likely includes the man surfing a wave."
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The second event describes the first time he bowls and the first occurrence of hitting a strike, while the first event indicates he returns for a third time, suggesting a sequence of actions."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,No,The two events are unrelated; the actions of the girl and the conversation between the women do not influence each other or imply a sequence.
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,Yes,The phrase 'We then see' in Event 2 implies that it occurs after the action in Event 1.
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,There is no clear indication of a temporal sequence between the events; the actions described do not necessarily relate to each other in a way that establishes one occurring before the other.
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The man observing and dancing on the rocks appears to be watching the ongoing white water rafting event, suggesting that Event 1 is occurring before or concurrently with Event 2."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,No,There is no indication that one event causes or is related to the timing of the other; they seem to be independent actions.
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,Lifting the weight over his head must precede the action of dropping the weight down onto the mat.
34,"Once the first car is finished , the lady leaves and now the boy is left outside by himself getting the rest of the snow off of the vehicle .",The lady is dressed in a long beige jacket and ear muffs and she is scraping the snow off of the other end of the car .,NA,Yes,"Event 1 indicates that the lady finishes with the first car and leaves, which must occur after she was scraping snow off the car in Event 2."
35,"The third time when he returns , he throws the ball and hits a strike one more time .","When he returns the fourth time , he hits another strike by knocking down all the pins .",NA,Yes,"Event 2 clearly follows Event 1, as the fourth return occurs after the third return."
36,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"Event 2 describes the woman preparing by touching the bottles and getting the glasses, which is a prerequisite for Event 1 where she mixes the liquids in those glasses."
37,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,No,The two events appear unrelated with no clear indication that one precedes the other; the scrolling names may be part of a credits scene while the boys walking is a separate scene.
38,He talks and we see a split screen of the accordion .,We see his hand up close as he plays .,NA,Yes,"The close-up of his hand playing likely occurs while he is talking, as it provides a visual element to support the audio of him talking."
39,"The next black screen has a different set of white words that read "" Who will win ? ? ? "" .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The phrase 'Who will win ? ? ?' likely follows the announcement of the 'ARM WRESTLING MATCH,' indicating that the first event occurs after the second."
40,She wets the toothbrush in the sink and begins to brush her teeth .,She pushes the button and puts toothpaste on the toothbrush .,NA,No,"Both actions can occur in a sequence, but the specific order is not clearly established. She may either put toothpaste on the toothbrush before or after wetting it."
41,The medal is cooled down and the finished weld can be seen .,A man welds a large steel construction drill .,NA,Yes,The cooling down of the medal and the visibility of the finished weld likely occur after the man has completed welding the construction drill.
42,A man kneels in the grass as two men flip and one jump over their back .,  A small boy enters the ring then two girls flip through .,NA,No,The events describe different scenarios and there is no clear indication that one precedes the other.
43,Two men are on a squash court playing a game   of squash with each other .,"During the game , they also pause several times to reset when they start a new game .",NA,Yes,Event 2 describes actions that occur during the ongoing game of squash in Event 1.
44,A girl in a red bathing suit stretches and walks to the edge of the dive platform and prepares to dive in a diving competition .,The diver jumps back off of the dive platform and spins forward for a head first entry .,NA,Yes,The girl preparing to dive must occur before she actually jumps off the dive platform.
45,He talks to the camera again .,He begins to play the guitar .,NA,No,There is no clear indication that one event must occur before the other; they can happen independently.
46,The people in the audience cheer and the shot is seen again in slow motion .,"A man is shown running that leads into an intro , followed by a photograph of him .",NA,No,"The events appear to describe different parts of a production, such as a sports highlight and an introduction, but there is no clear indication of a sequence or dependency between them."
47,A man tunes his guitar and then starts to strum it .,  The man plays a few chords and continues to fiddle with his guitar .,NA,Yes,"The man must tune his guitar before he can start strumming it, indicating a likely progression in his activity."
48,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,"The shift to see him play and him talking to the camera likely occurs before the camera zooms out, as it implies an introduction to the scene."
49,He keeps swinging the racket in the room .,A man in an orange shirt is playing wall ball .,NA,No,There is no clear indication that one event directly precedes the other; they may occur independently in the same setting.
50,The race start and they race along an uneven course with spectators watching .,A number of bikers line up at a race starting line .,NA,Yes,"The event of bikers lining up at the starting line occurs before the race starts, establishing a temporal relationship."
51,He aims and throws more darts and walks over one more time looking back at the camera .,He throws several more darts and then walks over the board and grabs the darts .,NA,No,"Both events describe actions of throwing darts and walking over, but they do not indicate a clear sequence where one event directly precedes the other."
52,A man in a blue shirt stands behind a fence behind him .,A man swings a ball on a chain around his body and throws it behind him .,NA,No,"There is no clear chronological order between the two events, as the standing man could be positioned before or after the ball is swung and thrown."
53,They set the barbells down before showing another man doing the same .,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .",NA,Yes,Setting the barbells down is likely a preliminary action before transitioning to using exercise balls and mats for sit ups and arm lifts.
54,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .",A black intro screen with a logo and words appear in red and white and black .,NA,Yes,"Typically, an intro screen with a logo and words would appear before a series of clips in a video, indicating that Event 2 precedes Event 1."
55,The big truck leaves the car wash .,A black sedan is parked by the detail shop area .,NA,No,There is no clear indication that one event must occur before the other; they could be happening independently or concurrently.
56,A red car is seen parked .,A young man cleans a Nissan and its license plate area .,NA,No,There is no clear indication that one event must occur before the other; the parked red car and the cleaning of the Nissan could happen independently.
57,He shows some of the front fork and how to apply the spring .,He then turns his attention back to the bike and its front end .,NA,Yes,"Event 1 describes an action that is likely part of a process leading into Event 2, indicating a sequence of attention and focus."
58,First person of a man in a canoe in a body of water near waterfalls .,Video of two other canoes nearer to the falls .,NA,No,The events describe different scenes involving canoes but do not indicate a direct temporal relationship; one does not necessarily precede the other.
59,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,The second event describes the woman preparing the glasses before she pours the liquid into them in the first event.
60,She jumps one more time and is seen walking away .,An athletic woman is seen standing ready for a track .,NA,No,"The two events can occur independently, with no clear indication that one follows the other."
61,She mixes more ingredients in the bowl and strain the fruits into a bowl in the end .,A woman is seen sitting behind a desk taking her classes down and clip arts of her and objects .,NA,No,The two events are unrelated; one describes a cooking process while the other describes a woman taking notes and working at a desk.
62,She grabs his hand with both hands and stands back up while shaking hands .,The two then have an arm wrestling match with one another and the girl points off into the distance .,NA,Yes,"The handshake likely occurs before the arm wrestling match, as it is a common social interaction that can happen prior to a competitive activity."
63,A young Asian boy is sitting behind a trap - set smiling frantically in participation of his performance .,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",NA,Yes,"The boy sitting behind the trap and smiling frantically is likely an initial moment of the performance, followed by the moment when the mic is removed and he begins moving his head wildly, indicating a progression in the performance."
64,The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,An adult man appeared and joined the girls and play hop scotch .,NA,Yes,The adult man joining the girls to play hopscotch likely happens after the girls have already put on their costumes.
65,"The cookie is picked up and broken in half , the screen goes to an outro screen that has the words "" Home Cooking adventure "" , includes 3 small videos in the middle of the screen and a youtube icon that has a flashing word "" subscribe "" next to it .","The instructions on the screen now say "" Drop 1 - 1 1/2 tablespoon portions 2 - inches apart "" and the woman is shown spooning the cookie dough mixture onto a baking pan .",NA,No,"Event 1 appears to be a conclusion or outro of a baking video, while Event 2 shows the preparation process, suggesting that Event 2 precedes Event 1."
66,The guy smiles and places the fish on the the ice with both hands .,A guy squats on ice next to a plant .,NA,No,The events describe two different actions and do not indicate a sequence; there is no clear temporal relationship between them.
67,The two teens bow after their fight .,The credits of video are shown .,NA,Yes,"The act of bowing after a fight typically occurs as part of the event's conclusion, whereas the credits signify that the event has ended."
68,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,There 's a small boy snowboarding down the slope .,NA,Yes,"The instruction in snowboarding must occur before the boy can snowboard down the slope, indicating a likely sequence of events."
69,"A black screen appears and green words scroll from the bottom to the top and stop when it fills the screen and say 's "" NDA&CS Food & Drug Protection Division "" and there 's a circular logo in the middle .","A man is washing his soapy hands in a sink while the water is running and as the timer is counting down on the right , he rinses his hands at the 20 second mark then dries them off with a brown paper towel .",NA,No,The two events describe unrelated scenarios and do not establish a sequence where one occurs before the other.
70,There are some adults helping small children get ready with their snowboarding equipment and gear .,An instructor from the snowboarding school is helping some young children get up after falling down .,NA,Yes,"The first event, where adults help children get ready with their snowboarding equipment, likely occurs before the second event, which involves an instructor assisting children after they have already started snowboarding and fallen."
71,  The man dismounts and lands on the mat .,  The man does a routine on the horse .,NA,Yes,The man must complete his routine on the horse before he can dismount and land on the mat.
72,A group wearing helmets and safety vests pull a raft into a rapid river .,"They run through the water toward a water fall , celebrating .",NA,Yes,The group must first pull the raft into the river before they can run through the water towards the waterfall.
73,The guy pours the shaken liquid into the glass .,The guy raises an empty glass .,NA,Yes,The event of raising an empty glass must occur before the guy pours the shaken liquid into it.
74,A baby boy 's head floats up from water .,"He goes back under , looking around in amazement .",NA,Yes,"The first event describes the baby boy's head floating above water, which is a moment that likely precedes the second event where he goes back under and looks around."
75,We see the blue opening screen .,The man then puts on his gloves and dances a bit in the yard .,NA,No,There is no clear indication that the blue opening screen event has any relation to the man putting on gloves and dancing in the yard; they could occur independently.
76,The woman continues kicking up her legs and ends by jumping down .,An athletic woman is seen balancing herself on two beams .,NA,No,"The two events describe different actions and skills being performed by the woman, with no indication that one directly precedes or follows the other."
77,"The man then picks up an iron and begins to melt some of the wax onto it by rubbing it on the hot iron , then onto the material on the ski and then back and forth to melting the wax and rubbing it onto the long piece of fabric on the ski .","The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The second event describes the man picking up a container and identifying the wax he will use, which likely occurs before he starts to melt and apply it to the ski in the first event."
78,"Two men are in a weight room , one is sitting in a chair , and the other is standing on a mat about to jerk the bar .",The same male then lifts the bar four times and is successful at each attempt .,NA,Yes,The action of standing on the mat and preparing to jerk the bar must occur before the subsequent actions of lifting the bar four times.
79,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,"The action of the camera zooming out likely follows the man's playing and talking to the camera, indicating a sequence in the viewing experience."
80,We see him playing the accordion again .,We fade in from black as the man talks .,NA,No,The events do not have a clear temporal relationship as they seem to describe different moments without any indication that one occurs as a result of or after the other.
81,The trainer walks the camel in a circle in a wide circle in the parking lot area with the children riding .,The trainer guides the children on a camel in front of the stage holding presenters and a large crowd .,NA,Yes,"The event of walking the camel in a circle likely occurs before the event of guiding the children on a camel in front of the stage, as this is a typical progression in a camel ride setup."
82,The view then returns to the boys skateboarding together again as they pass homes on each sides of the road and they continue to pass the stick to one another to take turns taking the video .,A 5th boy suddenly appears and takes the stick to take his turn in filming .,NA,Yes,"The appearance of the 5th boy taking the stick to film happens after the boys are already skating and taking turns, indicating a sequential order."
83,The girl uses a comb with a pick to part her hair .,The girl adds hair product to her hair and combs it through with her hands .,NA,Yes,The girl likely parts her hair first with the comb before adding hair product and combing it through with her hands.
84,We see a bathroom sink and counter .,The man then washes the container .,NA,Yes,"The presence of a bathroom sink and counter suggests that the man washing the container occurs after this observation, as he likely uses the sink."
85,A camera pans around a large group of people are seen kite surfing along the water while some sit on the sides to watch .,More clips are shown of people riding around along the water with some falling in and others standing back up .,NA,Yes,"The second event describes additional clips of people kite surfing, which implies it takes place after the first event where the initial kite surfing activity is established."
86,The two children move backwards as the teens leave .,The credits of video are shown .,NA,Yes,"The act of the children moving backwards as the teens leave suggests that this occurs as the video concludes, which is typically when credits are shown."
87,The young girl stops and begins to try and takes the food off the fork and they both begin laughing .,The little girl then sits down and they both begin to look on the floor for a piece of food that fell off of the fork .,NA,Yes,The actions of the young girl trying to take the food off the fork and laughing likely precede her sitting down and looking for the piece of food that fell.
88,The men begin to play the guitars .,Two men are sitting on stools with guitars in their laps with captions .,NA,Yes,"The first event describes the initiation of playing the guitars, which likely occurs before the second event where the men are already sitting with the guitars in their laps."
89,"  The canoe and the hand travel down a rocky water way and pass other people , trees and rocks .","A hand is seen paddling in the water along with the front of the canoe the person paddling is in , the body and face are not visible , however .",NA,Yes,"Event 2 describes a moment within the situation described in Event 1, indicating that paddling occurs while traveling down the waterway."
